Sheher,Marka,Model,Buraxilish ili,Ban novu,Reng,Muherrikin hecmi,Muherrikin gucu,Yanacaq novu,Yurush,Suretler qutusu,Oturucu,Yeni,Qiymet,Extra Info,Seller comment
Bakı,Mercedes,C 220,1999,Universal,Gümüşü,2.2 L,143 a.g.,Dizel,270 000 km,Avtomat,Arxa,Xeyr,13000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Ksenon lampalar,Yan pərdələr",Masin yaxsi veziyyetdedir. vurugu udari hec bir problemi yoxdur.
Xaçmaz,Mercedes,C 180,1998,Sedan,Qara,1.8 L,122 a.g.,Benzin,278 698 km,Avtomat,Arxa,Xeyr,10900 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Yan pərdələr,Oturacaqların ventilyasiyası","Maşin ideal veziyyetdedir. Mator, karobka, perodok top kimidir. 4 eded teze teker . Lyuk, kondisener, avtopilot hamisi işlek veziyyetdedir. Real alicilar narahat etsin. Maşin Xaçmaz şeherindedir."
Bakı,Mercedes,C 200,2006,Sedan,Qara,2.0 L,143 a.g.,Benzin,156 000 km,Avtomat,Arxa,Xeyr,14800 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Ksenon lampalar,Yan pərdələr,Oturacaqların ventilyasiyası","Təmiz nemkadır,amerkankalarla müqaisə etməyin,orginal probegdir,çox ekonom maşındır,heç bir problemi yoxdur,əla vəziyyətdədir.Disqlər orginal Carlsson 1100 manata almışam,blutuz sistem quraşdırmışam,yağı,sveça,təzə dəyişmişəm."
Bakı,Mercedes,C 220,1999,Sedan,Qızılı,2.2 L,143 a.g.,Dizel,250 000 km,Avtomat,Tam,Xeyr,12800 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Ksenon lampalar",maşın heç bir xerc teleb etmir.alan adam yoxlada bilər.maşına baxdıqdan sonra real alıcıya qiymətdə endirim ola bilər (baxdıqdan sonra ) 
Bakı,Mercedes,C 180,1998,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,184 000 km,Avtomat,Arxa,Xeyr,11400 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların ventilyasiyası",Masin tam ideal veziyyetdedir.hec bir problemi yoxdu.udar vurug yoxdur.real alicilar narahat etsin.
Bakı,Mercedes,C 220,2002,Universal,Gümüşü,2.0 L,143 a.g.,Dizel,460 000 km,Avtomat,Arxa,Xeyr,13500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Arxa görüntü kamerası",Bir az xərcləri var ...parpres ində cat var şamın  dəyişiləsidi hansısa dəqiq bilmirəm. buferin tini sürtülüb ...4 ədəd təzə təkər i var üstünə vurulmayıb android monitor 600azn lik .... maşın Allah a şükür normal vəziyyətdə dir ...iki maşın ım olduğu üçün satıram ... 
Biləsuvar,Mercedes,C 220,1999,Universal,Gümüşü,2.2 L,143 a.g.,Dizel,403 000 km,Avtomat,Arxa,Xeyr,13500 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner",Maşın əla vəziyyətdədir.Problemu yoxdur.yoxlatdıra bilərsiz.. İl sehv yaılıb avtomobil 2000-ci ildir
Bakı,Mercedes,C 180,1998,Universal,Göy,1.8 L,122 a.g.,Benzin,398 000 km,Avtomat,Arxa,Xeyr,9500 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner",Masin ideal veziyyetdedir. Hec bir xerc teleb etmir. Mator karopka xadavoy saz veziyyetdedir. Real aliciya qiymetde endirim olacaq
Sumqayıt,Mercedes,C 230,1998,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,286 250 km,Avtomat,Arxa,Xeyr,11500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Dəri salon,Ksenon lampalar,Yan pərdələr",C230 sadə mator 4 silindr.mator karobka most əla vəziyyətdə.təkərlər akumlyator təzə.peredok sıfırdan yığılıb benzanasosa qədər təzədi.ciddi alıcılar narahat etsin ancağ.qiymət maşının yanında danışılacağ.
Bakı,Mercedes,C 220,1998,Universal,Göy,2.2 L,146 a.g.,Dizel,556 000 km,Mexaniki,Arxa,Xeyr,10800 AZN,"ABS,Kondisioner",maşın yaxşı vəziyyətdədir.220CDI maşının nə xərci olsa puldan çıxılacaq.Qiymet maşının yanında danışılacaq.fikri ciddi olanlar zəng eləsin xahiş edirəm.
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası"
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN,Kreditdədir,Barter mümkündür
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN,Kreditdədir,Barter mümkündür
Sumqayıt,Mercedes,C 220,2000,Sedan,Gümüşü,2.2 L,150 a.g.,Dizel,300 000 km,Avtomat,Arxa,Xeyr,12700 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Park radarı,Kondisioner",Vurugu udari deyisen detali curuyu qetiyyen yoxdur.Kuza idealdi. Sadece sekilde gorsenen yerlere kosmetik olarag renglenmeye ehtiyac var.mator karopka kondisioner pec sidenya qizdiranlar ela isleyir.Peredokda hec bir xerc yoxdur.coooxxx qenaetcil masindi.
Bakı,Mercedes,C 280,1995,Sedan,Qara,2.8 L,193 a.g.,Benzin,394 000 km,Avtomat,Arxa,Xeyr,6900 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,11200 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Dəri salon,Ksenon lampalar","Maşın Təcili satılır. əla vəziyyətdədir.heç bir problemi yoxdu. 2.3 kompressor. AMG disklər.4 təzə təkər. mator,karobka,perodok əladi.gündəlik sürülən maşındi.harda isdəsəz yoxlatdıra bilərsiz.xahiş olunur yalnız real alıcılar narahat eləsin.real alıcı ilə qiymətdə razılaşmaq olar."
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,156 a.g.,Benzin,59 500 km,Avtomat,Arxa,Xeyr,32700 $,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar","Европейка!
В идеальном состоянии! Без краски!
Только привезена в Баку. Дорогие покрышки GoodYear.
Не требует никаких затрат.Хорошая комплектация.
Торг у машины."
Bakı,Mercedes,C 32 AMG,2001,Sedan,Ağ,3.2 L,284 a.g.,Benzin,254 000 km,Avtomat,Arxa,Xeyr,12500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası",cox seliqeli maşındı  hecbir xerc teleb etmir   amg matordu  bu maşını tanıyanlar bilir nece maşındı  tam full versiadı udar vuruq yoxdur istenilen yerde yoxlatdirmaq mumkundur  reng texpasportda qeyd olunub ag qara olaraq.
Bakı,Mercedes,C 230,1997,Sedan,Yaşıl,2.3 L,150 a.g.,Benzin,25 500 km,Avtomat,Arxa,Xeyr,9000 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 220,1998,Sedan,Qırmızı,2.2 L,143 a.g.,Dizel,290 000 km,Mexaniki,Arxa,Xeyr,11300 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Oturacaqların ventilyasiyası",2.2  CDI .  mawin ela vezyetdedir 4 teze tekeri  motoru ela sakit iwleyir tustulemir karobka ela most ela solonu seliqelidir tekce arxa buferde kasmetik iwi var onuda nezere alacam  vuruqu udari yoxdur harda istesez yoxlatdra bilersiz mawin öz mawinimdir real alci zeng etsinler
Bakı,Mercedes,C 220,2009,Sedan,Gümüşü,2.2 L,170 a.g.,Dizel,310 000 km,Avtomat,Arxa,Xeyr,28800 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası"
Cəlilabad,Mercedes,C 240,1998,Sedan,Göy,2.4 L,170 a.g.,Benzin,299 880 km,Avtomat,Arxa,Xeyr,12500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Yan pərdələr",6 ildir mendedi bawqa masin aliram 
Bakı,Mercedes,C 180,1999,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,254 803 km,Avtomat,Arxa,Xeyr,12400 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi"
Sumqayıt,Mercedes,C 180,1995,Sedan,Yaş Asfalt,1.8 L,122 a.g.,Benzin,378 656 km,Avtomat,Arxa,Xeyr,8000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Arxa görüntü kamerası",Öz adimdadi otur sūr maşindi 
Bakı,Mercedes,C 240,2000,Sedan,Yaşıl,2.6 L,177 a.g.,Benzin,156 000 km,Avtomat,Arxa,Xeyr,10500 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner",Mawin seliqeli surulub hec bir problemi yoxdur .Muellim mawimidir xadovoy sistemi super veziyyetdedir mator yag yemir.yanacaq serfiatib  100 /10/100/7 litir benzin yandirir. Kasnetiq iwi yoxdur.Bakiya geenden ozumdedir.Vacib pul lazim oldugundan satiram .Qiymete mawinin yaninda baxa bilerik .
Bakı,Mercedes,C 180,1996,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,140 000 km,Mexaniki,Arxa,Xeyr,8500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Yan pərdələr",Masin ela veziyetdedir xerc teleb etmir 
Balakən,Mercedes,C 180,1996,Sedan,Göy,1.8 L,120 a.g.,Benzin,130 000 km,Mexaniki,Arxa,Xeyr,8200 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi"
Quba,Mercedes,C 320,2003,Sedan,Qara,3.2 L,218 a.g.,Benzin,123 000 km,Avtomat,Tam,Xeyr,15500 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 240,1998,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,195 660 km,Avtomat,Arxa,Xeyr,12500 AZN,"ABS,Lyuk,Mərkəzi qapanma,Park radarı,Kondisioner,Yan pərdələr",İcbari sığorta dekabrda yenilənib. Karopka yağı yeni dəyişilib. Təkərlər yenidir. Kosmetik işlərə ehtiyac var onun xaricində heç bir problemi yoxdur. 8 ildir məndədir. son 8 ildə cəmi 50000 sürülüb. Saat 10:00 - 22:00 aralığında zəng etməyiniz xahiş olunur. 
Bakı,Mercedes,C 240,2000,Universal,Gümüşü,2.4 L,170 a.g.,Benzin,340 000 km,Avtomat,Arxa,Xeyr,11800 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Oturacaqların ventilyasiyası"
Qax,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,193 a.g.,Benzin,226 000 km,Avtomat,Arxa,Xeyr,11500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Oturacaqların ventilyasiyası","maşin C 230-DU  2,3 kompresor.maşin super  vəziatdadi  mator karobka əladi.elektro sidenialar elektro şuşalar ve güzgülar koja salon bir sözlə elektro paketdi har şeyi işlək vəziatdadi maşina söz yoxdu real alici zənqelasin."
Balakən,Mercedes,C 180,1996,Sedan,Qara,1.8 L,122 a.g.,Benzin,78 000 km,Avtomat,Arxa,Xeyr,8000 AZN,"Lyuk,Kondisioner",Mawin normal veziyyetdedir.luku var kandinsaneri var.tekerler zeyifdi.udari vuruqu yoxdur.
Sumqayıt,Mercedes,C 240,2001,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,291 000 km,Avtomat,Arxa,Xeyr,11800 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Arxa görüntü kamerası,Yan pərdələr","Almaniya istehsalidi, masin ela veziyyetdedi. Masinda yeni teker. AMG diskler,arxa goruntu kamerasi, manitor yan perdeler, park radari var. kondisaner, lyuk, oturacaqlarin qizdirilmasi mawina aid ne varsa islek veiyyetdedi.hec bir kasmetika isine ehtiyac yoxdur"
Qusar,Mercedes,C 200,1997,Sedan,Boz,2.0 L,136 a.g.,Benzin,139 000 km,Avtomat,Arxa,Xeyr,12500 AZN,"ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Dəri salon,Arxa görüntü kamerası",Ela veziyyetdedi supper veziyetdedir. Mawin demey olarki surulmiyib 
Bakı,Mercedes,C 180,1995,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,450 000 km,Mexaniki,Arxa,Xeyr,6900 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma"
Sumqayıt,Mercedes,C 230,2005,Sedan,Ağ,1.8 L,190 a.g.,Benzin,230 000 km,Avtomat,Arxa,Xeyr,14800 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Dəri salon","Avtomabil Əla vəziyyətdədir ! 
Heçbir xərc tələb etmir. 
Udarı vurugu olmayıb. 
Təkərlər təzədir."
Ağstafa,Mercedes,C 180,1996,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,280 000 km,Mexaniki,Arxa,Xeyr,8700 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Dəri salon",Masin tam ideal veziyyetdedir Azərbaycan a gelenden birinci sahibi ozumem baximli ve seliqeli masindir xais edirem ciddi sexsler narahat etsin 
Bakı,Mercedes,C 220,2000,Universal,Boz,2.2 L,143 a.g.,Dizel,400 000 km,Avtomat,Arxa,Xeyr,11500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Park radarı,Kondisioner",Temiz vuruxsuz maşındı kasmetik işleri var tecili satıram
Astara,Mercedes,C 250,2005,Sedan,Qara,2.5 L,182 a.g.,Benzin,229 999 km,Avtomat,Arxa,Xeyr,15600 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr",Maşın idyal vezyetdedi bir manat xerci yoxdu udarı vuruqu qetiyen olmayıb maşın AMC paketdi maşın bir sozle polnu fuldu maşın Tam idyal vezyetdedi 2005 2006 alış
Bakı,Mercedes,C 240,1999,Sedan,Göy,2.4 L,170 a.g.,Benzin,366 506 km,Avtomat,Arxa,Xeyr,12000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner","Maşin ela veziyyetdedi, təkərlərin 4də təzədi, yağini 10 gün olar dəyişmişem, harda istəsəz yoxlatdira bilərsiz,texpasport sahibiyəm maşin satmaq səbəbim ölkəden gedirem.Təcili satiram."
Ağdam,Mercedes,C 180,1997,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,307 599 km,Avtomat,Arxa,Xeyr,11000 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Arxa görüntü kamerası,Oturacaqların ventilyasiyası",Maşın əla vəziyyətdədir heç bir xərc tələb etmir isdədiyiniz yerdə yoxlada bilərsiz vuruqu zadı yoxdu öz maşınımdı real alıcı narahat edə bilər təkərlərin dördü də təzədir. Bazara çıxarmamışam çıxarmaq fikirimdə hələki yoxdu. Qiymətdə sonu qoydugum qiymət.
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN,Kreditdədir,Barter mümkündür
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası"
Bakı,Mercedes,C 230,2006,Sedan,Ağ,2.3 L,205 a.g.,Benzin,192 145 km,Avtomat,Arxa,Xeyr,18500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Oturacaqların ventilyasiyası",Maşının  tam ideal vəziyyətdədir heç bir xərc tələb etmir.Maşın  ailə maşını kimi istifadə olunub.Qaraj şəraitində saxlanılıb.Maşının probeqi orginaldı.Real alıcılara maşına baxdıqdan sora cüzi endirim olacaq.
Şirvan,Mercedes,C 180,1998,Sedan,Göy,1.8 L,125 a.g.,Benzin,556 680 km,Avtomat,Arxa,Xeyr,9700 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon","Mawin BAKIDADI. Tecili satilir yaxwi veziyetdedir mator karopka most ela veziyetdedir . Tek prablemi 
 vozduxamer iwlemir oda  ya pulundan cixaram yada alib qoyaram. bawqa prabelmi yoxdu otur sur mawindi real aliciya endirim olacaq. "
Sumqayıt,Mercedes,C 220,2000,Sedan,Gümüşü,2.2 L,150 a.g.,Dizel,300 000 km,Avtomat,Arxa,Xeyr,12700 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Park radarı,Kondisioner",Vurugu udari deyisen detali curuyu qetiyyen yoxdur.Kuza idealdi. Sadece sekilde gorsenen yerlere kosmetik olarag renglenmeye ehtiyac var.mator karopka kondisioner pec sidenya qizdiranlar ela isleyir.Peredokda hec bir xerc yoxdur.coooxxx qenaetcil masindi.
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,156 a.g.,Benzin,59 500 km,Avtomat,Arxa,Xeyr,32700 $,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar","Европейка!
В идеальном состоянии! Без краски!
Только привезена в Баку. Дорогие покрышки GoodYear.
Не требует никаких затрат.Хорошая комплектация.
Торг у машины."
Şirvan,Mercedes,C 180,1998,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,310 000 km,Avtomat,Arxa,Xeyr,11200 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi",Super vəziyetdedi herseyi isdeyir
Mingəçevir,Mercedes,C 180,1999,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,283 000 km,Avtomat,Arxa,Xeyr,12000 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Yan pərdələr","Maşın super vəziyyətdədir. Heç bir xərci yoxdu. Vuruq, udar olmuyub istənilən yerdə yoxlatdıra bilərsiz. Bütün detallar şüşə kimidi. Belə sağlam maşın çox az saydadı. Mator yağ yemir, karobka gecikmir. Peredok sistemi yığılıb. Cızıq, batıq, çürük, pas yoxdu. Maşın Mingəçevir şəhərindədi. Son qiymət maşına baxdıqdan sonra deyiləcək. "
Bakı,Mercedes,C 200,1999,Sedan,Göy,2.0 L,136 a.g.,Benzin,213 321 km,Avtomat,Arxa,Xeyr,12500 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Dəri salon,Ksenon lampalar,Yan pərdələr,Oturacaqların ventilyasiyası",Salam mawin tam ideal veziyyetde tam problemsizdi.real alana mawinin yaninda qismen endirim olacaq.saat 09:00-dan 21-00-adak elaqe saxlaya bilersiz.mawin temiz nimesdir.
Bakı,Mercedes,C 230,1997,Sedan,Qara,2.3 L,150 a.g.,Benzin,297 060 km,Avtomat,Arxa,Xeyr,9600 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Dəri salon",Maşin ideyal veziyyetdedir yagini teze deyişmişem tekerler eladir maşin oz adimadir biraz kasmetka işderi var
Bakı,Mercedes,C 240,2000,Sedan,Boz,2.6 L,175 a.g.,Benzin,244 880 km,Avtomat,Arxa,Xeyr,9800 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların ventilyasiyası"
Bakı,Mercedes,C 280,1997,Sedan,Göy,2.8 L,193 a.g.,Benzin,240 861 km,Avtomat,Arxa,Xeyr,11800 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Dəri salon,Yan pərdələr",Masin tam ideal veziyetdedir full salondu hec bir xerc teleb etmir mator karopka most perefok ideal veziyetdedir seliqeli ve baxilmis masindir udari vuruqu yoxdu   masin 20 yanvar metrosunun yaxinliqindadi 
Bakı,Mercedes,C 240,1999,Sedan,Göy,2.4 L,170 a.g.,Benzin,277 000 km,Avtomat,Arxa,Xeyr,12800 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr"
Kürdəmir,Mercedes,C 240,2001,Sedan,Ağ,2.6 L,170 a.g.,Benzin,334 000 km,Avtomat,Arxa,Xeyr,13500 AZN,"Yüngül lehimli disklər,ABS,Kondisioner,Dəri salon,Ksenon lampalar",Heçbir problemi yoxdur
Gəncə,Mercedes,C 200,1998,Sedan,Göy,2.0 L,136 a.g.,Benzin,215 000 km,Avtomat,Arxa,Xeyr,12400 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner",Ideal veziyyetde..2012 de ALMANYADAN gelib..Azerbaycanda ilk sahibiyem..masin zavod boyasidi..hec bir yerine reng deymeyib..xais edirem real alicilar narahat etsin..bele c klass Azerbaycanda demek olarki cox az sayda qalib..inanmayan gelib baxa biler..masinda her sey isleyir..
Bakı,Mercedes,C 220,1995,Sedan,Boz,2.2 L,146 a.g.,Benzin,427 000 km,Avtomat,Arxa,Xeyr,8400 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner",masin yaxsi veziyyetdedir.ciddi sexsler narahat etsin.
Bakı,Mercedes,C 180,1998,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,240 000 km,Avtomat,Arxa,Xeyr,13500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Masin ideal veziyyetdedir. Elave xerc teleb etmir. Real alicilarla qiymetde razilasma olacaq. Alverciler narahat etmesin. Oz masinimdir pul lazim oldugundan satiram. 
Sumqayıt,Mercedes,C 230,2000,Sedan,Ağ,2.3 L,243 a.g.,Benzin,242 112 km,Avtomat,Arxa,Xeyr,13500 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 180,1994,Sedan,Qara,1.8 L,122 a.g.,Benzin,473 000 km,Avtomat,Arxa,Xeyr,8600 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Dəri salon","Maşın çox yaxşı vəziyyətdədir,kondisaner,lyuk,dəri salon. leş çeşkalarla müqayisə etməyin.real alıcı zəng etsin."
Bakı,Mercedes,C 240,2004,Sedan,Qara,2.6 L,177 a.g.,Benzin,248 000 km,Avtomat,Tam,Xeyr,13500 AZN,"ABS,Lyuk,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Oturacaqların ventilyasiyası",Mersedes-Benz C-Class 240 (Qiymət razılaşma yolu ilə)
Bakı,Mercedes,C 300,2012,Sedan,Göy,3.0 L,231 a.g.,Benzin,55 000 km,Avtomat,Tam,Xeyr,21900 $,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Oturacaqların ventilyasiyası","Avtomobil ev ilə iş arasında səliqəli şəkildə istifadə olunub. Əla vəziyyətdədir və heç bir təmir tələb etmir. Amerikadan gətirilib və 4 il ərzində Bakıda cəmi 30,000 km əlavə sürülüb. Salonda heç vaxt siqaret çəkilməyib. Yalnız evin altında qapalı qarajda və Hokümət Evinin altında olan qarajda saxlanılıb. Premium benzin ilə sürülüb."
Bərdə,Mercedes,C 280,1997,Sedan,Göy,2.8 L,193 a.g.,Benzin,156 248 km,Avtomat,Arxa,Xeyr,11000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Yan pərdələr",Maşın əla vəziyyətədir hec bir problemi yoxdur bez detal vuruğu udarı yoxdur f( şarlotta lazer açar) ikiri ciddi olanlar narahat etsin.
Bakı,Mercedes,C 180,1993,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,260 000 km,Avtomat,Arxa,Xeyr,11000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası",İdeal veziyyetde. 1999 ya yığılıb. Panarama luku var. Panarama mesedesin elektron sideniyaları qoyulub. Deyerdimki bakıda bele çeşka yoxdur. 1 qepik xerc teleb etmir
Bakı,Mercedes,C 200,1999,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,138 564 km,Avtomat,Arxa,Xeyr,10500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma",Masin ela veziyyetdedir akummlaytor teze tekerler teze hec bir probpem yoxdur
